id,question_text,pair1,pair2,option_A,option_B,option_C,option_D,option_E,answer
1,"(pebble, stone) (sway, tilt)","(pebble, stone)","(sway, tilt)",hard,rock,music,roll,boulder,rock
2,"(timepiece, clock) (observe, look)","(timepiece, clock)","(observe, look)",wrist,strap,watch,see,time,watch
3,"(coil, spiral) (jump, leap)","(coil, spiral)","(jump, leap)",winter,bounce,spring,wire,season,spring
4,"(correct, true) (direction, turn)","(correct, true)","(direction, turn)",left,wrong,right,angle,yes,right
5,"(stick, club) (nocturnal, creature)","(stick, club)","(nocturnal, creature)",ball,fly,bat,night,wing,bat
6,"(tree, skin) (dog, yap)","(tree, skin)","(dog, yap)",wood,noise,bark,loud,growl,bark
7,"(preserve, jelly) (crowd, block)","(preserve, jelly)","(crowd, block)",sweet,traffic,jam,jar,stuck,jam
8,"(snooker, billiards) (pond, lake)","(snooker, billiards)","(pond, lake)",swim,cue,pool,water,game,pool
9,"(pit, colliery) (explosive, bomb)","(pit, colliery)","(explosive, bomb)",yours,dig,mine,coal,bang,mine
10,"(screw, metal) (dash, run)","(screw, metal)","(dash, run)",nut,fast,bolt,lock,sprint,bolt
11,"(cordial, drink) (crush, flatten)","(cordial, drink)","(crush, flatten)",sport,juice,squash,fruit,press,squash
12,"(paddle, bat) (din, noise)","(paddle, bat)","(din, noise)",tennis,loud,racket,sound,court,racket
13,"(herb, flavor) (fortune, wealth)","(herb, flavor)","(fortune, wealth)",fresh,money,mint,green,rich,mint
14,"(beat, hammer) (currency, money)","(beat, hammer)","(currency, money)",weight,hit,pound,coin,heavy,pound
15,"(outhouse, hut) (drop, moult)","(outhouse, hut)","(drop, moult)",store,hair,shed,garden,fall,shed
16,"(fete, carnival) (just, unbiased)","(fete, carnival)","(just, unbiased)",judge,ride,fair,equal,fun,fair
17,"(thin, slender) (rest, tilt)","(thin, slender)","(rest, tilt)",meat,fat,lean,prop,wall,lean
18,"(hop, jump) (omit, miss)","(hop, jump)","(omit, miss)",rope,jump,skip,pass,run,skip
19,"(stumble, fall) (journey, tour)","(stumble, fall)","(journey, tour)",travel,drop,trip,holiday,foot,trip
20,"(fail, overlook) (lady, girl)","(fail, overlook)","(lady, girl)",lose,hit,miss,mrs,target,miss
21,"(waterfowl, bird) (lower, crouch)","(waterfowl, bird)","(lower, crouch)",goose,down,duck,quack,head,duck
22,"(teach, coach) (locomotive, rail)","(teach, coach)","(locomotive, rail)",learn,track,train,bus,skill,train
23,"(basin, washbowl) (descend, drop)","(basin, washbowl)","(descend, drop)",tap,swim,sink,drown,kitchen,sink
24,"(soar, glide) (insect, bug)","(soar, glide)","(insect, bug)",plane,wing,fly,buzz,sky,fly
25,"(gesture, signal) (ripple, surf)","(gesture, signal)","(ripple, surf)",hand,sea,wave,hello,tide,wave
26,"(tree, coconut) (hand, grasp)","(tree, coconut)","(hand, grasp)",fingers,leaf,palm,read,date,palm
27,"(box, trunk) (torso, body)","(box, trunk)","(torso, body)",drawers,heart,chest,ribs,store,chest
28,"(crate, carton) (fight, spar)","(crate, carton)","(fight, spar)",square,ring,box,hit,gift,box
29,"(contest, game) (ignite, light)","(contest, game)","(ignite, light)",sport,fire,match,win,pair,match
30,"(write, biro) (enclosure, coop)","(write, biro)","(enclosure, coop)",ink,pig,pen,paper,farm,pen
31,"(orator, talker) (amplifier, audio)","(orator, talker)","(amplifier, audio)",loud,voice,speaker,sound,box,speaker
32,"(admirer, supporter) (cooler, blower)","(admirer, supporter)","(cooler, blower)",club,wind,fan,heat,air,fan
33,"(imprint, mark) (trample, stomp)","(imprint, mark)","(trample, stomp)",foot,post,stamp,mail,crush,stamp
34,"(hit, strike) (drink, beverage)","(hit, strike)","(drink, beverage)",fruit,fist,punch,fight,bowl,punch
35,"(society, group) (cudgel, weapon)","(society, group)","(cudgel, weapon)",member,hit,club,team,stick,club
36,"(mouth, teeth) (glue, stick)","(mouth, teeth)","(glue, stick)",chew,paste,gum,candy,red,gum
37,"(celebrity, idol) (sun, celestial)","(celebrity, idol)","(sun, celestial)",movie,sky,star,shine,famous,star
38,"(vat, container) (armored, vehicle)","(vat, container)","(armored, vehicle)",fish,army,tank,water,war,tank
39,"(path, trail) (monitor, follow)","(path, trail)","(monitor, follow)",train,race,track,trace,run,track
40,"(drama, show) (fun, recreation)","(drama, show)","(fun, recreation)",game,act,play,stage,toy,play
41,"(green, garden) (station, stop)","(green, garden)","(station, stop)",car,bench,park,grass,place,park
42,"(grilled, bread) (salute, tribute)","(grilled, bread)","(salute, tribute)",drink,burn,toast,warm,speech,toast
43,"(jacket, layer) (cover, paint)","(jacket, layer)","(cover, paint)",wear,fur,coat,gloss,warm,coat
44,"(folder, dossier) (rasp, tool)","(folder, dossier)","(rasp, tool)",smooth,paper,file,sort,metal,file
45,"(climb, ascend) (weigh, balance)","(climb, ascend)","(weigh, balance)",fish,ladder,scale,grams,up,scale
46,"(slopes, sides) (financial, store)","(slopes, sides)","(financial, store)",money,river,bank,robber,safe,bank
47,"(lamp, bulb) (pale, airy)","(lamp, bulb)","(pale, airy)",sun,heavy,light,dark,bright,light
48,"(flower, bloom) (stood, ascended)","(flower, bloom)","(stood, ascended)",red,up,rose,petal,sat,rose
49,"(tool, blade) (observed, viewed)","(tool, blade)","(observed, viewed)",cut,eyes,saw,wood,look,saw
50,"(line, tier) (paddle, propel)","(line, tier)","(paddle, propel)",boat,queue,row,fight,oar,row
51,"(king, leader) (measure, straightedge)","(king, leader)","(measure, straightedge)",queen,inch,ruler,crown,line,ruler
52,"(rip, shred) (weep, cry)","(rip, shred)","(weep, cry)",paper,sad,tear,drop,split,tear
53,"(breeze, gust) (twist, coil)","(breeze, gust)","(twist, coil)",blow,turn,wind,storm,clock,wind
54,"(guide, direct) (metal, graphite)","(guide, direct)","(metal, graphite)",follow,heavy,lead,pencil,first,lead
55,"(shut, seal) (near, adjacent)","(shut, seal)","(near, adjacent)",open,far,close,door,friend,close
56,"(exist, reside) (broadcast, real-time)","(exist, reside)","(broadcast, real-time)",life,tv,live,die,house,live
57,"(fruit, sweet) (day, time)","(fruit, sweet)","(day, time)",palm,meet,date,calendar,food,date
58,"(student, scholar) (eye, iris)","(student, scholar)","(eye, iris)",school,sight,pupil,teach,look,pupil
59,"(new, original) (book, fiction)","(new, original)","(book, fiction)",story,fresh,novel,read,old,novel
60,"(fireplace, hearth) (shred, rub)","(fireplace, hearth)","(shred, rub)",cheese,fire,grate,bars,cook,grate
61,"(dance, prom) (sphere, orb)","(dance, prom)","(sphere, orb)",round,music,ball,gown,game,ball
62,"(unlock, opener) (legend, guide)","(unlock, opener)","(legend, guide)",door,map,key,metal,lock,key
63,"(invoice, account) (beak, neb)","(invoice, account)","(beak, neb)",pay,bird,bill,money,cost,bill
64,"(circle, loop) (call, chime)","(circle, loop)","(call, chime)",finger,bell,ring,gold,round,ring
65,"(departed, gone) (side, port)","(departed, gone)","(side, port)",right,away,left,hand,turn,left
66,"(attack, rush) (price, fee)","(attack, rush)","(price, fee)",run,cost,charge,battery,pay,charge
67,"(score, tally) (aim, direct)","(score, tally)","(aim, direct)",dot,finger,point,win,sharp,point
68,"(place, location) (pimple, mark)","(place, location)","(pimple, mark)",dot,see,spot,dog,site,spot
69,"(commander, officer) (common, broad)","(commander, officer)","(common, broad)",army,all,general,leader,rule,general
70,"(peak, summit) (spinner, toy)","(peak, summit)","(spinner, toy)",bottom,high,top,lid,hat,top
71,"(garden, patio) (measurement, distance)","(garden, patio)","(measurement, distance)",grass,feet,yard,play,length,yard
72,"(pack, cards) (floor, level)","(pack, cards)","(floor, level)",ship,ace,deck,board,suit,deck
73,"(plank, timber) (council, directors)","(plank, timber)","(council, directors)",wood,meet,board,game,chalk,board
74,"(company, business) (solid, hard)","(company, business)","(solid, hard)",soft,boss,firm,work,strong,firm
75,"(quick, rapid) (starve, abstain)","(quick, rapid)","(starve, abstain)",slow,food,fast,speed,eat,fast
76,"(gift, offering) (here, attendance)","(gift, offering)","(here, attendance)",now,give,present,box,time,present
77,"(branch, twig) (adhere, glue)","(branch, twig)","(adhere, glue)",wood,stay,stick,pole,tape,stick
78,"(force, effort) (filter, sift)","(force, effort)","(filter, sift)",hurt,pull,strain,tea,drain,strain
79,"(gentle, soft) (offer, bid)","(gentle, soft)","(offer, bid)",meat,kind,tender,money,care,tender
80,"(tomb, bury) (serious, solemn)","(tomb, bury)","(serious, solemn)",dead,sad,grave,stone,dig,grave
81,"(steady, firm) (horse, barn)","(steady, firm)","(horse, barn)",farm,safe,stable,fix,stall,stable
82,"(said, voiced) (wire, radius)","(said, voiced)","(wire, radius)",wheel,talk,spoke,bike,word,spoke
83,"(swoon, collapse) (dim, weak)","(swoon, collapse)","(dim, weak)",fall,light,faint,pale,dizzy,faint
84,"(presenter, compere) (multitude, army)","(presenter, compere)","(multitude, army)",guest,party,host,crowd,tv,host
85,"(gap, room) (universe, cosmos)","(gap, room)","(universe, cosmos)",star,blank,space,ship,open,space
86,"(tolerant, calm) (sick, invalid)","(tolerant, calm)","(sick, invalid)",doctor,wait,patient,care,time,patient
87,"(lord, noble) (stare, gaze)","(lord, noble)","(stare, gaze)",look,duke,peer,friend,equal,peer
88,"(tube, conduit) (smoke, tobacco)","(tube, conduit)","(smoke, tobacco)",water,puff,pipe,lead,plumb,pipe
89,"(conspire, scheme) (story, land)","(conspire, scheme)","(story, land)",plan,garden,plot,book,area,plot
90,"(mail, send) (pole, stake)","(mail, send)","(pole, stake)",letter,fence,post,office,wood,post
91,"(push, squeeze) (media, newspapers)","(push, squeeze)","(media, newspapers)",iron,news,press,button,print,press
92,"(award, trophy) (value, treasure)","(award, trophy)","(value, treasure)",win,gold,prize,gift,medal,prize
93,"(sheep, male) (crash, bump)","(sheep, male)","(crash, bump)",goat,hit,ram,wool,push,ram
94,"(spots, hives) (hasty, careless)","(spots, hives)","(hasty, careless)",itch,fast,rash,skin,red,rash
95,"(relax, sleep) (remainder, others)","(relax, sleep)","(remainder, others)",bed,left,rest,pause,stop,rest
96,"(moment, instant) (next, following)","(moment, instant)","(next, following)",time,two,second,wait,hour,second
97,"(slide, skid) (petticoat, underskirt)","(slide, skid)","(petticoat, underskirt)",fall,dress,slip,trip,paper,slip
98,"(break, crack) (photo, picture)","(break, crack)","(photo, picture)",click,fast,snap,shot,sound,snap
99,"(noise, audio) (safe, reliable)","(noise, audio)","(safe, reliable)",hear,good,sound,music,loud,sound
100,"(extra, reserve) (save, pardon)","(extra, reserve)","(save, pardon)",tyre,free,spare,give,keep,spare
101,"(mammal, sea-lion) (shut, fasten)","(mammal, sea-lion)","(shut, fasten)",otter,glue,seal,door,swim,seal
102,"(archer, weapon) (knot, ribbon)","(archer, weapon)","(knot, ribbon)",arrow,tie,bow,shoot,lace,bow
103,"(piece, morsel) (drill, tool)","(piece, morsel)","(drill, tool)",part,hole,bit,metal,crumb,bit
104,"(tin, container) (able, ability)","(tin, container)","(able, ability)",jar,do,can,steel,skill,can
105,"(city, main) (money, wealth)","(city, main)","(money, wealth)",town,bank,capital,letter,rich,capital
106,"(box, crate) (instance, example)","(box, crate)","(instance, example)",law,pack,case,bag,point,case
107,"(throw, toss) (actors, company)","(throw, toss)","(actors, company)",play,sling,cast,mould,movie,cast
108,"(alter, modify) (coins, money)","(alter, modify)","(coins, money)",shift,cash,change,spend,vary,change
109,"(fry, potato) (fragment, shard)","(fry, potato)","(fragment, shard)",crisp,crack,chip,break,food,chip
110,"(fastener, holder) (cut, trim)","(fastener, holder)","(cut, trim)",shear,pin,clip,film,paper,clip
111,"(happy, satisfied) (inside, ingredients)","(happy, satisfied)","(inside, ingredients)",glad,fill,content,full,joy,content
112,"(bird, wader) (lift, hoist)","(bird, wader)","(lift, hoist)",fly,build,crane,neck,machine,crane
113,"(insect, bug) (sport, game)","(insect, bug)","(sport, game)",jump,bat,cricket,grass,match,cricket
114,"(flow, stream) (now, present)","(flow, stream)","(now, present)",river,today,current,tide,electric,current
115,"(trade, bargain) (wood, pine)","(trade, bargain)","(wood, pine)",sale,tree,deal,plank,card,deal
116,"(feathers, soft) (below, lower)","(feathers, soft)","(below, lower)",fluff,under,down,bird,drop,down
117,"(sketch, picture) (pull, drag)","(sketch, picture)","(pull, drag)",art,haul,draw,line,pencil,draw
118,"(tool, bore) (practice, exercise)","(tool, bore)","(practice, exercise)",hole,train,drill,march,bit,drill
119,"(flat, level) (number, equal)","(flat, level)","(number, equal)",smooth,odd,even,fair,same,even
120,"(cut, chop) (hill, mountain)","(cut, chop)","(hill, mountain)",axe,peak,fell,down,high,fell
121,"(cloth, fabric) (sensed, touched)","(cloth, fabric)","(sensed, touched)",wool,knew,felt,soft,heart,felt
122,"(penalty, charge) (thin, delicate)","(penalty, charge)","(thin, delicate)",cost,nice,fine,hair,pay,fine
123,"(apartment, home) (level, smooth)","(apartment, home)","(level, smooth)",house,even,flat,tyre,plan,flat
124,"(fast, rapid) (ships, navy)","(fast, rapid)","(ships, navy)",quick,boat,fleet,sea,admiral,fleet
125,"(buoy, raft) (parade, wagon)","(buoy, raft)","(parade, wagon)",swim,car,float,sink,water,float
126,"(shape, figure) (class, grade)","(shape, figure)","(class, grade)",mould,year,form,fill,sort,form
127,"(established, started) (discovered, located)","(established, started)","(discovered, located)",built,lost,found,basis,seek,found
128,"(sport, match) (animals, hunted)","(sport, match)","(animals, hunted)",play,wild,game,toy,fun,game
129,"(crystal, material) (tumbler, beaker)","(crystal, material)","(tumbler, beaker)",break,cup,glass,clear,drink,glass
130,"(earth, soil) (crushed, milled)","(earth, soil)","(crushed, milled)",land,flour,ground,floor,dust,ground
131,"(ice, frozen) (greet, call)","(ice, frozen)","(greet, call)",rain,hello,hail,storm,taxi,hail
132,"(egg, open) (door, opening)","(egg, open)","(door, opening)",chick,gate,hatch,plan,exit,hatch
133,"(grasp, grip) (storage, ship)","(grasp, grip)","(storage, ship)",hand,keep,hold,cargo,wait,hold
134,"(metal, steel) (press, smooth)","(metal, steel)","(press, smooth)",hard,shirt,iron,heat,heavy,iron
135,"(pot, vessel) (shake, jolt)","(pot, vessel)","(shake, jolt)",glass,shock,jar,lid,jam,jar
136,"(cow, cattle) (shirt, pullover)","(cow, cattle)","(shirt, pullover)",milk,knit,jersey,wear,farm,jersey
137,"(castle, tower) (retain, hold)","(castle, tower)","(retain, hold)",stay,fort,keep,safe,guard,keep
138,"(nice, gentle) (type, sort)","(nice, gentle)","(type, sort)",good,class,kind,mean,help,kind
139,"(drink, lick) (knees, legs)","(drink, lick)","(knees, legs)",sit,cat,lap,run,pool,lap
140,"(final, end) (endure, survive)","(final, end)","(endure, survive)",first,long,last,time,past,last
141,"(place, put) (song, poem)","(place, put)","(song, poem)",set,sing,lay,egg,bed,lay
142,"(foliage, green) (departs, goes)","(foliage, green)","(departs, goes)",tree,exit,leaves,plant,fall,leaves
143,"(mail, post) (character, symbol)","(mail, post)","(character, symbol)",send,write,letter,note,word,letter
144,"(untruth, fib) (recline, rest)","(untruth, fib)","(recline, rest)",bed,FALSE,lie,sit,truth,lie
145,"(fruit, citrus) (stone, chalk)","(fruit, citrus)","(stone, chalk)",green,rock,lime,sour,soda,lime
146,"(hair, curl) (secure, fasten)","(hair, curl)","(secure, fasten)",key,wig,lock,door,safe,lock
147,"(length, tall) (yearn, wish)","(length, tall)","(yearn, wish)",short,want,long,time,wait,long
148,"(wood, timber) (plod, trudge)","(wood, timber)","(plod, trudge)",tree,walk,lumber,saw,heavy,lumber
