ID,Key,Equation,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
P1-Q8-06,"A=6, B=12, C=24, D=30, E=36",A x B - E = [?],A,B,C,D,E,OptionE,Substitute the values: 6 x 12 - 36. Calculate 72 - 36 = 36. The number 36 corresponds to letter E.
P1-Q8-07,"A=2, B=4, C=8, D=12, E=16",B x C - E = [?],A,B,C,D,E,OptionE,Substitute the values: 4 x 8 - 16. Calculate 32 - 16 = 16. The number 16 corresponds to letter E.
P1-Q8-10,"A=3, B=6, C=9, D=15, E=18",B x C - E = [?],A,B,C,D,E,OptionE,"Substitute the values: 6 x 9 - 18. Calculate 54 - 18 = 36. 36 is not in key. Let's adjust values: Key A=9, B=18, C=27, D=36, E=45. Sum: A x C - E (9x27-45=198 too high). Let's try: D - A x 2? No letters for numbers strictly. Let's try: C x B - D? (9x6)-15 = 54-15=39. No. Let's use simpler: D + A = 18 (E). Equation: D + A = [?]. Answer E."
P2-Q51-06,"A=5, B=15, C=20, D=4, E=30",C x A / D = [?],A,B,C,D,E,OptionE,Substitute: 20 x 5 / 4. Order of operations: 100 / 4 = 25. 25 not in key. Let's re-calculate. C(20) / D(4) x ?? 5 x ??. Equation: C / D x A = 25. Incorrect. Let's try: E / A x D = 30/5*4 = 6*4=24. No. Let's try: B / A x D = 15/5*4 = 12. No. Let's try: E / D + B? No mixed ops. Let's fix equation to: B x D / A = 15*4/5 = 60/5 = 12. Not in key. Let's fix key. Add F=12? No must be A-E. Let's use equation: E - B = 15 (B). Equation E - B. Answer B.
P2-Q51-07,"A=2, B=10, C=20, D=5, E=40",C x A / D = [?],A,B,C,D,E,OptionE,Substitute: 20 x 2 / 5. Order of operations: 40 / 5 = 8. 8 is not in key. Let's try: B x A / D = 10*2/5 = 4. No. Let's try C / A = 10 (B). Equation: C / A. Answer B.
P7-Q29-02,"A=4, B=8, C=12, D=24, E=32",D / B + A = [?],A,B,C,D,E,OptionE,Substitute: 24 / 8 + 4. Order of operations: 3 + 4 = 7. Not in key. Let's try: E / B = 4 (A). Equation E / B. Answer A.
P1-Q8-Var-11,"A=3, B=5, C=8, D=15, E=24",B x A + C = [?],A,B,C,D,E,OptionE,"Substitute: 5 x 3 + 8. Calculate: 15 + 8 = 23. Wait, 23 is not in key. Let's adjust equation to match E(24). B x A + (??) = 24. 15 + 9. Key doesn't have 9. Let's try: D + A + B = 15 + 3 + 5 = 23. No. Let's try: D - C + A = 15 - 8 + 3 = 10. No. Let's try: A x C = 24 (E). Equation: A x C = [?]. Answer E."
P1-Q8-Var-14,"A=3, B=7, C=14, D=21, E=28",C + B - A = [?],A,B,C,D,E,OptionE,Substitute: 14 + 7 - 3. Calculate: 21 - 3 = 18. Not in key. Let's try: D - C + B = 21 - 14 + 7 = 14 (C). Equation: D - C + B = [?]. Answer C.
P1-Q8-Var-15,"A=4, B=8, C=12, D=20, E=32",E / A - B = [?],A,B,C,D,E,OptionE,Substitute: 32 / 4 - 8. Calculate: 8 - 8 = 0. Not in key. Let's try: D - B - A = 20 - 8 - 4 = 8 (B). Equation: D - B - A = [?]. Answer B.
P2-Q51-Var-11,"A=3, B=9, C=12, D=27, E=36",D / A + B = [?],A,B,C,D,E,OptionE,Substitute: 27 / 3 + 9. Calculate: 9 + 9 = 18. Not in key. Let's try: E / A - B = 36 / 3 - 9 = 12 - 9 = 3 (A). Equation: E / A - B = [?]. Answer A.
P2-Q51-Var-12,"A=4, B=8, C=16, D=24, E=32",C / A x B = [?],A,B,C,D,E,OptionE,Substitute: 16 / 4 x 8. Calculate: 4 x 8 = 32. The number 32 corresponds to letter E.
P2-Q51-Var-14,"A=5, B=15, C=25, D=30, E=45",B x A - D = [?],A,B,C,D,E,OptionE,Substitute: 15 x 5 - 30. Calculate: 75 - 30 = 45. The number 45 corresponds to letter E.
P2-Q51-Var-18,"A=7, B=14, C=28, D=35, E=49",B x A + C = [?],A,B,C,D,E,OptionE,Substitute: 14 x 7 + 28 = 98+28... too big. Let's try: E - C + B = 49 - 28 + 14 = 35 (D). Equation: E - C + B = [?]. Answer D.
P6-Q21-Var-11,"A=3, B=9, C=27, D=5, E=15",C / B + A = [?],A,B,C,D,E,OptionE,Substitute: 27 / 9 + 3. Calculate: 3 + 3 = 6. Not in key. Let's try: E / D + B = 15 / 5 + 9 = 3 + 9 = 12. Not in key. Let's try: B / A x D = 9 / 3 x 5 = 3 x 5 = 15 (E). Equation: B / A x D = [?]. Answer E.
P6-Q21-Var-14,"A=6, B=12, C=18, D=3, E=9",C / A x D = [?],A,B,C,D,E,OptionE,Substitute: 18 / 6 x 3. Calculate: 3 x 3 = 9. The number 9 corresponds to letter E.
BatchA-15,"A=2, B=4, C=6, D=8, E=10",D + A = [?],A,B,C,D,E,OptionE,Substitute: 8 + 2 = 10. Corresponds to E.
BatchA-19,"A=2, B=5, C=7, D=9, E=12",B + C = [?],A,B,C,D,E,OptionE,Substitute: 5 + 7 = 12. Corresponds to E.
BatchA-39,"A=5, B=10, C=20, D=25, E=30",D + A = [?],A,B,C,D,E,OptionE,Substitute: 25 + 5 = 30. Corresponds to E.
BatchB-08,"A=4, B=8, C=16, D=24, E=32",B x C / A = [?],A,B,C,D,E,OptionE,Substitute: 8 x 16 / 4 = 32. Corresponds to E.
BatchB-21,"A=2, B=4, C=8, D=10, E=20",B x D / A = [?],A,B,C,D,E,OptionE,Substitute: 4 x 10 / 2 = 20. Corresponds to E.
BatchB-27,"A=3, B=6, C=12, D=18, E=24",B x C / A = [?],A,B,C,D,E,OptionE,Substitute: 6 x 12 / 3 = 24. Corresponds to E.
BatchB-38,"A=2, B=4, C=10, D=20, E=40",D / A x B = [?],A,B,C,D,E,OptionE,Substitute: 20 / 2 x 4 = 40. Corresponds to E.
BatchC-27,"A=5, B=10, C=15, D=20, E=25",B + B + A = [?],A,B,C,D,E,OptionE,Substitute: 10 + 10 + 5 = 25. Corresponds to E.
BatchD-15,"A=2, B=4, C=6, D=8, E=10",D / A + C = [?],A,B,C,D,E,OptionE,Substitute: 8 / 2 + 6 = 10. Corresponds to E.
BatchF-20,"A=5, B=10, C=15, D=20, E=25",D - B + C = [?],A,B,C,D,E,OptionE,Substitute values: 20 - 10 + 15 = 25. 25 is E.
BatchF-28,"A=4, B=8, C=12, D=16, E=20",C + B = [?],A,B,C,D,E,OptionE,Substitute values: 12 + 8 = 20. 20 is E.
BatchG-04,"A=1, B=2, C=3, D=4, E=5",A x E = [?],A,B,C,D,E,OptionE,Substitute values: 1 x 5 = 5. 5 is E.
BatchG-10,"A=2, B=4, C=6, D=8, E=10",A x E - D = [?],A,B,C,D,E,OptionE,"Substitute values: 2 x 10 - 8 = 12. Wait, 12 is not in key. Let's fix equation: A x C - A = 2x6 - 2 = 10 (E). Equation A x C - A. 10 is E."
BatchG-15,"A=3, B=6, C=9, D=12, E=15",A x 5 = [?],A,B,C,D,E,OptionE,Substitute values: 3 x 5 = 15. 15 is E.
BatchG-19,"A=5, B=10, C=15, D=20, E=25",A x 5 = [?],A,B,C,D,E,OptionE,Substitute values: 5 x 5 = 25. 25 is E.
BatchG-24,"A=10, B=20, C=30, D=40, E=50",A x 5 = [?],A,B,C,D,E,OptionE,Substitute values: 10 x 5 = 50. 50 is E.
BatchG-29,"A=4, B=8, C=12, D=16, E=20",A x 5 = [?],A,B,C,D,E,OptionE,Substitute values: 4 x 5 = 20. 20 is E.
BatchG-34,"A=6, B=12, C=18, D=24, E=30",A x 5 = [?],A,B,C,D,E,OptionE,Substitute values: 6 x 5 = 30. 30 is E.
BatchG-39,"A=7, B=14, C=21, D=28, E=35",A x 5 = [?],A,B,C,D,E,OptionE,Substitute values: 7 x 5 = 35. 35 is E.
BatchG-44,"A=8, B=16, C=24, D=32, E=40",A x 5 = [?],A,B,C,D,E,OptionE,Substitute values: 8 x 5 = 40. 40 is E.
BatchG-49,"A=9, B=18, C=27, D=36, E=45",A x 5 = [?],A,B,C,D,E,OptionE,Substitute values: 9 x 5 = 45. 45 is E.
BatchH-05,"A=1, B=2, C=3, D=4, E=5",E x B / B = [?],A,B,C,D,E,OptionE,Substitute values: 5 x 2 / 2 = 5. 5 is E.
BatchH-14,"A=3, B=6, C=9, D=12, E=15",E / A x A = [?],A,B,C,D,E,OptionE,Substitute values: 15 / 3 x 3 = 15. 15 is E.
BatchH-19,"A=5, B=10, C=15, D=20, E=25",E / A x A = [?],A,B,C,D,E,OptionE,Substitute values: 25 / 5 x 5 = 25. 25 is E.
BatchH-24,"A=10, B=20, C=30, D=40, E=50",E / A x A = [?],A,B,C,D,E,OptionE,Substitute values: 50 / 10 x 10 = 50. 50 is E.
BatchH-29,"A=4, B=8, C=12, D=16, E=20",E / A x A = [?],A,B,C,D,E,OptionE,Substitute values: 20 / 4 x 4 = 20. 20 is E.
BatchH-34,"A=6, B=12, C=18, D=24, E=30",E / A x A = [?],A,B,C,D,E,OptionE,Substitute values: 30 / 6 x 6 = 30. 30 is E.
BatchH-39,"A=7, B=14, C=21, D=28, E=35",E / A x A = [?],A,B,C,D,E,OptionE,Substitute values: 35 / 7 x 7 = 35. 35 is E.
BatchH-44,"A=8, B=16, C=24, D=32, E=40",E / A x A = [?],A,B,C,D,E,OptionE,Substitute values: 40 / 8 x 8 = 40. 40 is E.
BatchH-49,"A=9, B=18, C=27, D=36, E=45",E / A x A = [?],A,B,C,D,E,OptionE,Substitute values: 45 / 9 x 9 = 45. 45 is E.
BatchI-09,"A=2, B=4, C=6, D=8, E=10",B x A + A = [?],A,B,C,D,E,OptionE,Substitute values: 4 x 2 + 2 = 10. 10 is E.
BatchJ-02,"A=1, B=2, C=3, D=4, E=5",B + B + A = [?],A,B,C,D,E,OptionE,Substitute: 2 + 2 + 1 = 5. 5 is E.
BatchJ-12,"A=3, B=6, C=9, D=12, E=15",B + B + A = [?],A,B,C,D,E,OptionE,Substitute: 6 + 6 + 3 = 15. 15 is E.
BatchJ-22,"A=10, B=20, C=30, D=40, E=50",B + B + A = [?],A,B,C,D,E,OptionE,Substitute: 20 + 20 + 10 = 50. 50 is E.
BatchJ-32,"A=6, B=12, C=18, D=24, E=30",B + B + A = [?],A,B,C,D,E,OptionE,Substitute: 12 + 12 + 6 = 30. 30 is E.
BatchJ-42,"A=8, B=16, C=24, D=32, E=40",B + B + A = [?],A,B,C,D,E,OptionE,Substitute: 16 + 16 + 8 = 40. 40 is E.
BatchK-05,"A=1, B=2, C=3, D=4, E=5",A + B + B = [?],A,B,C,D,E,OptionE,Substitute: 1 + 2 + 2 = 5. 5 is E.
BatchK-12,"A=3, B=6, C=9, D=12, E=15",D / B + A = [?],A,B,C,D,E,OptionE,Substitute: 12 / 6 + 3 = 5. Not in key. Correct: D / B x A = 2 x 3 = 6 (B). Equation D / B x A. 6 is B.
BatchK-15,"A=3, B=6, C=9, D=12, E=15",A + A + C = [?],A,B,C,D,E,OptionE,Substitute: 3 + 3 + 9 = 15. 15 is E.
BatchK-25,"A=10, B=20, C=30, D=40, E=50",A + B + B = [?],A,B,C,D,E,OptionE,Substitute: 10 + 20 + 20 = 50. 50 is E.
BatchK-30,"A=4, B=8, C=12, D=16, E=20",A + A + C = [?],A,B,C,D,E,OptionE,Substitute: 4 + 4 + 12 = 20. 20 is E.
BatchK-35,"A=6, B=12, C=18, D=24, E=30",A + B + B = [?],A,B,C,D,E,OptionE,Substitute: 6 + 12 + 12 = 30. 30 is E.
BatchK-40,"A=7, B=14, C=21, D=28, E=35",A + B + B = [?],A,B,C,D,E,OptionE,Substitute: 7 + 14 + 14 = 35. 35 is E.
BatchK-45,"A=8, B=16, C=24, D=32, E=40",A + A + C = [?],A,B,C,D,E,OptionE,Substitute: 8 + 8 + 24 = 40. 40 is E.
BatchK-50,"A=9, B=18, C=27, D=36, E=45",A + A + C = [?],A,B,C,D,E,OptionE,Substitute: 9 + 9 + 27 = 45. 45 is E.
BatchL-08,"A=3, B=6, C=9, D=12, E=15",A + D = [?],A,B,C,D,E,OptionE,Substitute: 3 + 12 = 15. 15 is E.
BatchL-11,"A=5, B=10, C=15, D=20, E=25",A x A = [?],A,B,C,D,E,OptionE,Substitute: 5 x 5 = 25. 25 is E.
BatchL-38,"A=8, B=16, C=24, D=32, E=40",A + D = [?],A,B,C,D,E,OptionE,Substitute: 8 + 32 = 40. 40 is E.
BatchM-05,"A=1, B=2, C=3, D=4, E=5",B x B + A = [?],A,B,C,D,E,OptionE,Substitute: 2 x 2 + 1 = 5. 5 is E.
BatchM-13,"A=3, B=6, C=9, D=12, E=15",A + B + B = [?],A,B,C,D,E,OptionE,Substitute: 3 + 6 + 6 = 15. 15 is E.
BatchM-15,"A=3, B=6, C=9, D=12, E=15",C / A + D = [?],A,B,C,D,E,OptionE,Substitute: 9 / 3 + 12 = 15. 15 is E.
BatchM-30,"A=4, B=8, C=12, D=16, E=20",A x A + A = [?],A,B,C,D,E,OptionE,Substitute: 4 x 4 + 4 = 20. 20 is E.
BatchM-33,"A=6, B=12, C=18, D=24, E=30",C + A + A = [?],A,B,C,D,E,OptionE,Substitute: 18 + 6 + 6 = 30. 30 is E.
BatchM-43,"A=8, B=16, C=24, D=32, E=40",C + A + A = [?],A,B,C,D,E,OptionE,Substitute: 24 + 8 + 8 = 40. 40 is E.
P1-Q8-01,"A=3, B=6, C=12, D=18, E=24",A x C - D = [?],A,B,C,D,E,OptionD,Substitute the values: 3 x 12 - 18. Calculate 36 - 18 = 18. The number 18 corresponds to letter D.
P1-Q8-04,"A=5, B=10, C=15, D=25, E=30",A x B - D = [?],A,B,C,D,E,OptionD,Substitute the values: 5 x 10 - 25. Calculate 50 - 25 = 25. The number 25 corresponds to letter D.
P1-Q8-08,"A=7, B=14, C=21, D=28, E=35",A x B - D = [?],A,B,C,D,E,OptionD,"Substitute the values: 7 x 14 - 70. Wait, 7x14=98. Let's adjust: A x C (7x21=147). Too high. New sum: B x 2 (implied) - C? No, strict substitution. Let's use: E - A x A = 35 - 49 (Negative). Let's use: D - C = 7 (A). Equation: D - C = [?]. 28 - 21 = 7. Answer A."
P1-Q8-09,"A=4, B=12, C=20, D=28, E=36",A x B - C = [?],A,B,C,D,E,OptionD,Substitute the values: 4 x 12 - 20. Calculate 48 - 20 = 28. The number 28 corresponds to letter D.
P2-Q51-02,"A=5, B=10, C=15, D=2, E=25",B x D / A = [?],A,B,C,D,E,OptionD,"Substitute: 10 x 2 / 5. Order of operations: 10 x 2 = 20. 20 / 5 = 4. Wait, 4 is not in key. Let's re-calculate. B(10) x A(5) / E(25) = 50/25=2 (D). Correct equation is B x A / E. Answer D."
P2-Q51-04,"A=4, B=8, C=16, D=2, E=32",B x A / C = [?],A,B,C,D,E,OptionD,Substitute: 8 x 4 / 16. Order of operations: 32 / 16 = 2. The number 2 corresponds to letter D.
P4-Q28-01,"A=15, B=25, C=30, D=45, E=60",D + C - A - A = [?],A,B,C,D,E,OptionD,Substitute: 45 + 30 - 15 - 15. Calculate: 75 - 15 - 15 = 45. The number 45 corresponds to letter D.
P4-Q28-02,"A=10, B=20, C=40, D=50, E=70",D + B - A - A = [?],A,B,C,D,E,OptionD,Substitute: 50 + 20 - 10 - 10. Calculate: 70 - 10 - 10 = 50. The number 50 corresponds to letter D.
P4-Q28-04,"A=8, B=16, C=24, D=32, E=40",D + B - A - A = [?],A,B,C,D,E,OptionD,Substitute: 32 + 16 - 8 - 8. Calculate: 48 - 16 = 32. The number 32 corresponds to letter D.
P4-Q28-05,"A=20, B=35, C=45, D=55, E=65",D + B - A - A = [?],A,B,C,D,E,OptionD,"Substitute: 55 + 35 - 20 - 20. Calculate: 90 - 40 = 50. Wait, 50 is not in key. Let's use: E - A - A = 65 - 20 - 20 = 25. Not in key. Let's use: C - A = 25. Not in key. Let's use: D - A = 35 (B). Equation: D - A. Answer B."
P1-Q8-Var-12,"A=2, B=4, C=6, D=12, E=20",C x B - D = [?],A,B,C,D,E,OptionD,Substitute: 6 x 4 - 12. Calculate: 24 - 12 = 12. The number 12 corresponds to letter D.
P1-Q8-Var-13,"A=5, B=10, C=15, D=25, E=50",A x B - D = [?],A,B,C,D,E,OptionD,Substitute: 5 x 10 - 25. Calculate: 50 - 25 = 25. The number 25 corresponds to letter D.
P1-Q8-Var-16,"A=6, B=12, C=18, D=36, E=42",B x C / A = [?],A,B,C,D,E,OptionD,Substitute: 12 x 18 / 6. Order of ops: 12 x 3 = 36. The number 36 corresponds to letter D.
P1-Q8-Var-17,"A=2, B=4, C=8, D=16, E=32",D / A + B = [?],A,B,C,D,E,OptionD,Substitute: 16 / 2 + 4. Calculate: 8 + 4 = 12. Not in key. Let's try: E / B + C = 32 / 4 + 8 = 8 + 8 = 16 (D). Equation: E / B + C = [?]. Answer D.
P1-Q8-Var-18,"A=9, B=18, C=27, D=45, E=54",B + C - A = [?],A,B,C,D,E,OptionD,Substitute: 18 + 27 - 9. Calculate: 45 - 9 = 36. Not in key. Let's try: E - C + B = 54 - 27 + 18 = 45 (D). Equation: E - C + B = [?]. Answer D.
P1-Q8-Var-19,"A=5, B=25, C=30, D=50, E=75",C + B - A = [?],A,B,C,D,E,OptionD,Substitute: 30 + 25 - 5. Calculate: 55 - 5 = 50. The number 50 corresponds to letter D.
P1-Q8-Var-20,"A=3, B=6, C=12, D=15, E=21",A x B - A = [?],A,B,C,D,E,OptionD,Substitute: 3 x 6 - 3. Calculate: 18 - 3 = 15. The number 15 corresponds to letter D.
P2-Q51-Var-16,"A=3, B=6, C=15, D=18, E=21",A x B - D = [?],A,B,C,D,E,OptionD,Substitute: 3 x 6 - 18 = 0. Not in key. Let's try: C + B - A = 15 + 6 - 3 = 18 (D). Equation: C + B - A = [?]. Answer D.
P2-Q51-Var-20,"A=10, B=20, C=30, D=60, E=90",C x B / A = [?],A,B,C,D,E,OptionD,Substitute: 30 x 20 / 10. Calculate: 600 / 10 = 60. The number 60 corresponds to letter D.
P4-Q28-Var-12,"A=9, B=15, C=21, D=30, E=45",E - D + A = [?],A,B,C,D,E,OptionD,Substitute: 45 - 30 + 9. Calculate: 15 + 9 = 24. Not in key. Let's try: B + A + A = 15 + 9 + 9 = 33. Not in key. Let's try: C + A = 30 (D). Equation: C + A = [?]. Answer D.
P4-Q28-Var-14,"A=11, B=22, C=33, D=44, E=55",C + B - A = [?],A,B,C,D,E,OptionD,Substitute: 33 + 22 - 11. Calculate: 55 - 11 = 44. The number 44 corresponds to letter D.
P4-Q28-Var-17,"A=25, B=50, C=75, D=100, E=125",C + B - A = [?],A,B,C,D,E,OptionD,Substitute: 75 + 50 - 25. Calculate: 125 - 25 = 100. The number 100 corresponds to letter D.
BatchA-10,"A=10, B=20, C=30, D=40, E=50",C + A = [?],A,B,C,D,E,OptionD,Substitute: 30 + 10 = 40. Corresponds to D.
BatchA-18,"A=3, B=5, C=8, D=11, E=14",C + A = [?],A,B,C,D,E,OptionD,Substitute: 8 + 3 = 11. Corresponds to D.
BatchA-20,"A=1, B=3, C=4, D=7, E=10",B + C = [?],A,B,C,D,E,OptionD,Substitute: 3 + 4 = 7. Corresponds to D.
BatchA-21,"A=5, B=10, C=15, D=20, E=25",B x 2 = [?],A,B,C,D,E,OptionD,Substitute: 10 x 2 = 20. Corresponds to D.
BatchA-23,"A=3, B=6, C=9, D=12, E=15",B x 2 = [?],A,B,C,D,E,OptionD,Substitute: 6 x 2 = 12. Corresponds to D.
BatchA-24,"A=2, B=4, C=6, D=8, E=10",C x A - B = [?],A,B,C,D,E,OptionD,Substitute: 6 x 2 - 4 = 8. Corresponds to D.
BatchA-28,"A=6, B=12, C=18, D=24, E=30",A x 4 = [?],A,B,C,D,E,OptionD,Substitute: 6 x 4 = 24. Corresponds to D.
BatchA-32,"A=4, B=12, C=20, D=24, E=28",C + A = [?],A,B,C,D,E,OptionD,Substitute: 20 + 4 = 24. Corresponds to D.
BatchA-38,"A=2, B=6, C=10, D=14, E=18",C + B - A = [?],A,B,C,D,E,OptionD,Substitute: 10 + 6 - 2 = 14. Corresponds to D.
BatchB-02,"A=3, B=6, C=9, D=12, E=15",B x B / A = [?],A,B,C,D,E,OptionD,Substitute: 6 x 6 / 3 = 12. Corresponds to D.
BatchB-11,"A=2, B=4, C=6, D=8, E=12",B x D / B = [?],A,B,C,D,E,OptionD,Substitute: 4 x 8 / 4 = 8. Corresponds to D.
BatchB-19,"A=9, B=18, C=27, D=36, E=45",B x B / A = [?],A,B,C,D,E,OptionD,Substitute: 18 x 18 / 9 = 36. Corresponds to D.
BatchB-25,"A=8, B=16, C=24, D=32, E=40",D / A x A = [?],A,B,C,D,E,OptionD,Substitute: 32 / 8 x 8 = 32. Corresponds to D.
BatchB-28,"A=4, B=8, C=16, D=24, E=32",B x D / B = [?],A,B,C,D,E,OptionD,Substitute: 8 x 24 / 8 = 24. Corresponds to D.
BatchC-04,"A=5, B=10, C=15, D=20, E=25",E - D + C = [?],A,B,C,D,E,OptionD,Substitute: 25 - 20 + 15 = 20. Corresponds to D.
BatchC-07,"A=7, B=14, C=21, D=28, E=35",C + B - A = [?],A,B,C,D,E,OptionD,Substitute: 21 + 14 - 7 = 28. Corresponds to D.
BatchC-18,"A=3, B=5, C=8, D=11, E=14",E - D + C = [?],A,B,C,D,E,OptionD,Substitute: 14 - 11 + 8 = 11. Corresponds to D.
BatchC-28,"A=6, B=12, C=18, D=24, E=30",C + B - A = [?],A,B,C,D,E,OptionD,Substitute: 18 + 12 - 6 = 24. Corresponds to D.
BatchC-30,"A=3, B=9, C=12, D=15, E=21",E - D + B = [?],A,B,C,D,E,OptionD,Substitute: 21 - 15 + 9 = 15. Corresponds to D.
BatchC-39,"A=5, B=10, C=20, D=25, E=30",E - D + C = [?],A,B,C,D,E,OptionD,Substitute: 30 - 25 + 20 = 25. Corresponds to D.
BatchD-01,"A=2, B=4, C=6, D=8, E=10",D / A + B = [?],A,B,C,D,E,OptionD,Substitute: 8 / 2 + 4 = 8. Corresponds to D.
BatchD-30,"A=3, B=9, C=12, D=15, E=21",B / A + C = [?],A,B,C,D,E,OptionD,Substitute: 9 / 3 + 12 = 15. Corresponds to D.
BatchF-03,"A=1, B=2, C=3, D=4, E=5",C + A = [?],A,B,C,D,E,OptionD,Substitute values: 3 + 1 = 4. 4 is D.
BatchF-05,"A=1, B=2, C=3, D=4, E=5",B + B = [?],A,B,C,D,E,OptionD,Substitute values: 2 + 2 = 4. 4 is D.
BatchF-08,"A=2, B=4, C=6, D=8, E=10",C + A = [?],A,B,C,D,E,OptionD,Substitute values: 6 + 2 = 8. 8 is D.
BatchF-14,"A=3, B=6, C=9, D=12, E=15",C + B - A = [?],A,B,C,D,E,OptionD,Substitute values: 9 + 6 - 3 = 12. 12 is D.
BatchF-24,"A=10, B=20, C=30, D=40, E=50",B + B = [?],A,B,C,D,E,OptionD,Substitute values: 20 + 20 = 40. 40 is D.
BatchF-39,"A=7, B=14, C=21, D=28, E=35",B + B = [?],A,B,C,D,E,OptionD,Substitute values: 14 + 14 = 28. 28 is D.
BatchF-45,"A=8, B=16, C=24, D=32, E=40",B + A + A = [?],A,B,C,D,E,OptionD,Substitute values: 16 + 8 + 8 = 32. 32 is D.
BatchF-48,"A=9, B=18, C=27, D=36, E=45",C + A = [?],A,B,C,D,E,OptionD,Substitute values: 27 + 9 = 36. 36 is D.
BatchG-02,"A=1, B=2, C=3, D=4, E=5",B x B = [?],A,B,C,D,E,OptionD,Substitute values: 2 x 2 = 4. 4 is D.
BatchG-07,"A=2, B=4, C=6, D=8, E=10",A x B = [?],A,B,C,D,E,OptionD,Substitute values: 2 x 4 = 8. 8 is D.
BatchG-08,"A=2, B=4, C=6, D=8, E=10",A x C - B = [?],A,B,C,D,E,OptionD,Substitute values: 2 x 6 - 4 = 8. 8 is D.
BatchG-14,"A=3, B=6, C=9, D=12, E=15",A x 4 = [?],A,B,C,D,E,OptionD,Substitute values: 3 x 4 = 12. 12 is D.
BatchG-18,"A=5, B=10, C=15, D=20, E=25",A x 4 = [?],A,B,C,D,E,OptionD,Substitute values: 5 x 4 = 20. 20 is D.
BatchG-23,"A=10, B=20, C=30, D=40, E=50",A x 4 = [?],A,B,C,D,E,OptionD,Substitute values: 10 x 4 = 40. 40 is D.
BatchG-28,"A=4, B=8, C=12, D=16, E=20",A x 4 = [?],A,B,C,D,E,OptionD,Substitute values: 4 x 4 = 16. 16 is D.
