id,question,OptionA,OptionB,OptionC,OptionD,OptionE,correct_answer,explanation,difficulty
1,(3 [15] 5)  (3 [30] 10)  (4 [?] 10),40,47,30,37,32,A,The rule is: multiply the two numbers. Check Example 1: (3 * 5) = 15. Check Example 2: (3 * 10) = 30. Apply to Question: (4 * 10) = 40.,1
2,(5 [50] 10)  (10 [50] 5)  (5 [?] 8),37,40,47,50,39,B,The rule is: multiply the two numbers. Check Example 1: (5 * 10) = 50. Check Example 2: (10 * 5) = 50. Apply to Question: (5 * 8) = 40.,1
3,(18 [12] 6)  (11 [6] 5)  (18 [?] 6),13,12,11,22,15,B,The rule is: find the difference between the numbers. Check Example 1: (18 - 6) = 12. Check Example 2: (11 - 5) = 6. Apply to Question: (18 - 6) = 12.,1
4,(2 [8] 6)  (5 [24] 19)  (12 [?] 20),37,33,34,28,32,E,The rule is: add the left and right numbers. Check Example 1: (2 + 6) = 8. Check Example 2: (5 + 19) = 24. Apply to Question: (12 + 20) = 32.,1
5,(5 [40] 8)  (9 [45] 5)  (7 [?] 6),43,44,32,35,42,E,The rule is: multiply the two numbers. Check Example 1: (5 * 8) = 40. Check Example 2: (9 * 5) = 45. Apply to Question: (7 * 6) = 42.,1
6,(7 [21] 3)  (4 [12] 3)  (4 [?] 9),36,35,34,38,46,A,The rule is: multiply the two numbers. Check Example 1: (7 * 3) = 21. Check Example 2: (4 * 3) = 12. Apply to Question: (4 * 9) = 36.,1
7,(18 [6] 24)  (6 [10] 16)  (9 [?] 19),10,11,12,9,8,A,The rule is: find the difference between the numbers. Check Example 1: (18 - 24) = 6. Check Example 2: (6 - 16) = 10. Apply to Question: (9 - 19) = 10.,1
8,(8 [32] 4)  (9 [45] 5)  (9 [?] 4),35,36,29,38,43,B,The rule is: multiply the two numbers. Check Example 1: (8 * 4) = 32. Check Example 2: (9 * 5) = 45. Apply to Question: (9 * 4) = 36.,1
9,(3 [5] 2)  (16 [28] 12)  (16 [?] 4),20,16,21,19,10,A,The rule is: add the left and right numbers. Check Example 1: (3 + 2) = 5. Check Example 2: (16 + 12) = 28. Apply to Question: (16 + 4) = 20.,1
10,(10 [22] 12)  (6 [8] 2)  (3 [?] 11),14,13,11,16,15,A,The rule is: add the left and right numbers. Check Example 1: (10 + 12) = 22. Check Example 2: (6 + 2) = 8. Apply to Question: (3 + 11) = 14.,1
11,(25 [4] 21)  (6 [7] 13)  (6 [?] 18),11,14,10,13,12,E,The rule is: find the difference between the numbers. Check Example 1: (25 - 21) = 4. Check Example 2: (6 - 13) = 7. Apply to Question: (6 - 18) = 12.,1
12,(6 [16] 22)  (5 [15] 20)  (10 [?] 7),3,4,6,5,13,A,The rule is: find the difference between the numbers. Check Example 1: (6 - 22) = 16. Check Example 2: (5 - 20) = 15. Apply to Question: (10 - 7) = 3.,1
13,(18 [3] 15)  (9 [10] 19)  (16 [?] 10),16,7,8,4,6,E,The rule is: find the difference between the numbers. Check Example 1: (18 - 15) = 3. Check Example 2: (9 - 19) = 10. Apply to Question: (16 - 10) = 6.,1
14,(8 [8] 16)  (16 [11] 5)  (25 [?] 12),16,15,13,11,12,C,The rule is: find the difference between the numbers. Check Example 1: (8 - 16) = 8. Check Example 2: (16 - 5) = 11. Apply to Question: (25 - 12) = 13.,1
15,(4 [21] 17)  (14 [21] 7)  (15 [?] 4),21,16,17,20,19,E,The rule is: add the left and right numbers. Check Example 1: (4 + 17) = 21. Check Example 2: (14 + 7) = 21. Apply to Question: (15 + 4) = 19.,1
16,(24 [16] 8)  (10 [15] 25)  (13 [?] 8),15,6,7,5,3,D,The rule is: find the difference between the numbers. Check Example 1: (24 - 8) = 16. Check Example 2: (10 - 25) = 15. Apply to Question: (13 - 8) = 5.,1
17,(16 [27] 11)  (12 [23] 11)  (9 [?] 7),15,26,16,18,14,C,The rule is: add the left and right numbers. Check Example 1: (16 + 11) = 27. Check Example 2: (12 + 11) = 23. Apply to Question: (9 + 7) = 16.,1
18,(4 [40] 10)  (5 [50] 10)  (6 [?] 8),48,43,58,53,40,A,The rule is: multiply the two numbers. Check Example 1: (4 * 10) = 40. Check Example 2: (5 * 10) = 50. Apply to Question: (6 * 8) = 48.,1
19,(4 [36] 9)  (3 [18] 6)  (3 [?] 10),40,24,33,30,25,D,The rule is: multiply the two numbers. Check Example 1: (4 * 9) = 36. Check Example 2: (3 * 6) = 18. Apply to Question: (3 * 10) = 30.,1
20,(6 [30] 5)  (2 [16] 8)  (9 [?] 8),61,66,74,72,62,D,The rule is: multiply the two numbers. Check Example 1: (6 * 5) = 30. Check Example 2: (2 * 8) = 16. Apply to Question: (9 * 8) = 72.,1
21,(6 [24] 4)  (4 [36] 9)  (4 [?] 3),13,12,14,9,10,B,The rule is: multiply the two numbers. Check Example 1: (6 * 4) = 24. Check Example 2: (4 * 9) = 36. Apply to Question: (4 * 3) = 12.,1
22,(13 [8] 5)  (5 [6] 11)  (23 [?] 15),18,8,7,6,11,B,The rule is: find the difference between the numbers. Check Example 1: (13 - 5) = 8. Check Example 2: (5 - 11) = 6. Apply to Question: (23 - 15) = 8.,1
23,(5 [50] 10)  (10 [40] 4)  (3 [?] 6),19,16,18,23,20,C,The rule is: multiply the two numbers. Check Example 1: (5 * 10) = 50. Check Example 2: (10 * 4) = 40. Apply to Question: (3 * 6) = 18.,1
24,(9 [25] 16)  (14 [21] 7)  (16 [?] 18),34,40,36,44,39,A,The rule is: add the left and right numbers. Check Example 1: (9 + 16) = 25. Check Example 2: (14 + 7) = 21. Apply to Question: (16 + 18) = 34.,1
25,(20 [3] 23)  (6 [16] 22)  (25 [?] 18),5,9,6,7,8,D,The rule is: find the difference between the numbers. Check Example 1: (20 - 23) = 3. Check Example 2: (6 - 22) = 16. Apply to Question: (25 - 18) = 7.,1
26,(12 [23] 11)  (6 [15] 9)  (8 [?] 20),33,26,27,28,38,D,The rule is: add the left and right numbers. Check Example 1: (12 + 11) = 23. Check Example 2: (6 + 9) = 15. Apply to Question: (8 + 20) = 28.,1
27,(7 [63] 9)  (3 [21] 7)  (3 [?] 2),6,4,7,16,5,A,The rule is: multiply the two numbers. Check Example 1: (7 * 9) = 63. Check Example 2: (3 * 7) = 21. Apply to Question: (3 * 2) = 6.,1
28,(2 [18] 16)  (15 [20] 5)  (10 [?] 2),11,13,2,10,12,E,The rule is: add the left and right numbers. Check Example 1: (2 + 16) = 18. Check Example 2: (15 + 5) = 20. Apply to Question: (10 + 2) = 12.,1
29,(19 [2] 17)  (10 [5] 5)  (13 [?] 15),2,5,3,4,7,A,The rule is: find the difference between the numbers. Check Example 1: (19 - 17) = 2. Check Example 2: (10 - 5) = 5. Apply to Question: (13 - 15) = 2.,1
30,(9 [16] 7)  (15 [22] 7)  (9 [?] 7),18,21,19,15,16,E,The rule is: add the left and right numbers. Check Example 1: (9 + 7) = 16. Check Example 2: (15 + 7) = 22. Apply to Question: (9 + 7) = 16.,1
31,(9 [63] 7)  (2 [16] 8)  (5 [?] 10),50,52,51,40,54,A,The rule is: multiply the two numbers. Check Example 1: (9 * 7) = 63. Check Example 2: (2 * 8) = 16. Apply to Question: (5 * 10) = 50.,1
32,(16 [4] 12)  (7 [12] 19)  (17 [?] 16),6,1,2,3,4,B,The rule is: find the difference between the numbers. Check Example 1: (16 - 12) = 4. Check Example 2: (7 - 19) = 12. Apply to Question: (17 - 16) = 1.,1
33,(20 [30] 10)  (2 [15] 13)  (17 [?] 5),22,27,20,26,23,A,The rule is: add the left and right numbers. Check Example 1: (20 + 10) = 30. Check Example 2: (2 + 13) = 15. Apply to Question: (17 + 5) = 22.,1
34,(5 [12] 17)  (13 [8] 21)  (5 [?] 13),5,8,6,18,13,B,The rule is: find the difference between the numbers. Check Example 1: (5 - 17) = 12. Check Example 2: (13 - 21) = 8. Apply to Question: (5 - 13) = 8.,1
35,(9 [25] 16)  (14 [30] 16)  (14 [?] 4),18,16,17,21,15,A,The rule is: add the left and right numbers. Check Example 1: (9 + 16) = 25. Check Example 2: (14 + 16) = 30. Apply to Question: (14 + 4) = 18.,1
36,(3 [15] 12)  (12 [23] 11)  (13 [?] 20),31,43,33,38,23,C,The rule is: add the left and right numbers. Check Example 1: (3 + 12) = 15. Check Example 2: (12 + 11) = 23. Apply to Question: (13 + 20) = 33.,1
37,(3 [12] 9)  (9 [11] 2)  (15 [?] 16),29,32,36,30,31,E,The rule is: add the left and right numbers. Check Example 1: (3 + 9) = 12. Check Example 2: (9 + 2) = 11. Apply to Question: (15 + 16) = 31.,1
38,(4 [24] 6)  (7 [56] 8)  (3 [?] 10),32,40,29,33,30,E,The rule is: multiply the two numbers. Check Example 1: (4 * 6) = 24. Check Example 2: (7 * 8) = 56. Apply to Question: (3 * 10) = 30.,1
39,(5 [50] 10)  (4 [8] 2)  (4 [?] 10),41,35,40,34,45,C,The rule is: multiply the two numbers. Check Example 1: (5 * 10) = 50. Check Example 2: (4 * 2) = 8. Apply to Question: (4 * 10) = 40.,1
40,(10 [10] 20)  (18 [7] 11)  (24 [?] 6),28,20,8,23,18,E,The rule is: find the difference between the numbers. Check Example 1: (10 - 20) = 10. Check Example 2: (18 - 11) = 7. Apply to Question: (24 - 6) = 18.,1
41,(8 [72] 9)  (8 [56] 7)  (6 [?] 8),50,46,58,55,48,E,The rule is: multiply the two numbers. Check Example 1: (8 * 9) = 72. Check Example 2: (8 * 7) = 56. Apply to Question: (6 * 8) = 48.,1
42,(14 [2] 16)  (17 [8] 9)  (17 [?] 10),9,6,8,17,7,E,The rule is: find the difference between the numbers. Check Example 1: (14 - 16) = 2. Check Example 2: (17 - 9) = 8. Apply to Question: (17 - 10) = 7.,1
43,(17 [9] 8)  (13 [7] 20)  (15 [?] 22),9,6,8,4,7,E,The rule is: find the difference between the numbers. Check Example 1: (17 - 8) = 9. Check Example 2: (13 - 20) = 7. Apply to Question: (15 - 22) = 7.,1
44,(8 [1] 7)  (17 [12] 5)  (24 [?] 21),3,2,4,6,1,A,The rule is: find the difference between the numbers. Check Example 1: (8 - 7) = 1. Check Example 2: (17 - 5) = 12. Apply to Question: (24 - 21) = 3.,1
45,(10 [13] 23)  (13 [1] 12)  (7 [?] 22),18,15,13,25,16,B,The rule is: find the difference between the numbers. Check Example 1: (10 - 23) = 13. Check Example 2: (13 - 12) = 1. Apply to Question: (7 - 22) = 15.,1
46,(13 [2] 11)  (15 [1] 16)  (18 [?] 16),7,12,4,2,3,D,The rule is: find the difference between the numbers. Check Example 1: (13 - 11) = 2. Check Example 2: (15 - 16) = 1. Apply to Question: (18 - 16) = 2.,1
47,(9 [90] 10)  (4 [32] 8)  (4 [?] 3),12,22,14,15,2,A,The rule is: multiply the two numbers. Check Example 1: (9 * 10) = 90. Check Example 2: (4 * 8) = 32. Apply to Question: (4 * 3) = 12.,1
48,(6 [11] 5)  (19 [35] 16)  (14 [?] 3),17,18,19,15,7,A,The rule is: add the left and right numbers. Check Example 1: (6 + 5) = 11. Check Example 2: (19 + 16) = 35. Apply to Question: (14 + 3) = 17.,1
49,(15 [4] 19)  (18 [2] 16)  (21 [?] 11),10,15,12,9,8,A,The rule is: find the difference between the numbers. Check Example 1: (15 - 19) = 4. Check Example 2: (18 - 16) = 2. Apply to Question: (21 - 11) = 10.,1
50,(7 [18] 11)  (17 [26] 9)  (15 [?] 4),22,19,17,18,21,B,The rule is: add the left and right numbers. Check Example 1: (7 + 11) = 18. Check Example 2: (17 + 9) = 26. Apply to Question: (15 + 4) = 19.,1
51,(9 [45] 5)  (9 [54] 6)  (8 [?] 7),56,57,66,58,60,A,The rule is: multiply the two numbers. Check Example 1: (9 * 5) = 45. Check Example 2: (9 * 6) = 54. Apply to Question: (8 * 7) = 56.,1
52,(8 [13] 5)  (11 [26] 15)  (3 [?] 13),14,16,17,18,21,B,The rule is: add the left and right numbers. Check Example 1: (8 + 5) = 13. Check Example 2: (11 + 15) = 26. Apply to Question: (3 + 13) = 16.,1
53,(6 [18] 3)  (3 [21] 7)  (7 [?] 5),25,40,32,35,37,D,The rule is: multiply the two numbers. Check Example 1: (6 * 3) = 18. Check Example 2: (3 * 7) = 21. Apply to Question: (7 * 5) = 35.,1
54,(5 [13] 8)  (18 [33] 15)  (2 [?] 11),13,23,15,11,14,A,The rule is: add the left and right numbers. Check Example 1: (5 + 8) = 13. Check Example 2: (18 + 15) = 33. Apply to Question: (2 + 11) = 13.,1
55,(7 [25] 18)  (7 [21] 14)  (12 [?] 6),19,18,23,16,15,B,The rule is: add the left and right numbers. Check Example 1: (7 + 18) = 25. Check Example 2: (7 + 14) = 21. Apply to Question: (12 + 6) = 18.,1
56,(13 [30] 17)  (7 [19] 12)  (8 [?] 5),14,12,13,11,23,C,The rule is: add the left and right numbers. Check Example 1: (13 + 17) = 30. Check Example 2: (7 + 12) = 19. Apply to Question: (8 + 5) = 13.,1
57,(10 [30] 20)  (6 [20] 14)  (9 [?] 17),36,24,26,27,28,C,The rule is: add the left and right numbers. Check Example 1: (10 + 20) = 30. Check Example 2: (6 + 14) = 20. Apply to Question: (9 + 17) = 26.,1
58,(15 [21] 6)  (19 [35] 16)  (9 [?] 12),22,21,31,20,17,B,The rule is: add the left and right numbers. Check Example 1: (15 + 6) = 21. Check Example 2: (19 + 16) = 35. Apply to Question: (9 + 12) = 21.,1
59,(14 [6] 8)  (17 [4] 21)  (14 [?] 23),8,11,7,12,9,E,The rule is: find the difference between the numbers. Check Example 1: (14 - 8) = 6. Check Example 2: (17 - 21) = 4. Apply to Question: (14 - 23) = 9.,1
60,(15 [10] 25)  (6 [5] 11)  (22 [?] 17),6,3,2,5,4,D,The rule is: find the difference between the numbers. Check Example 1: (15 - 25) = 10. Check Example 2: (6 - 11) = 5. Apply to Question: (22 - 17) = 5.,1
61,(17 [3] 20)  (25 [10] 15)  (14 [?] 6),9,11,8,7,10,C,The rule is: find the difference between the numbers. Check Example 1: (17 - 20) = 3. Check Example 2: (25 - 15) = 10. Apply to Question: (14 - 6) = 8.,1
62,(7 [63] 9)  (6 [60] 10)  (9 [?] 4),34,36,39,29,46,B,The rule is: multiply the two numbers. Check Example 1: (7 * 9) = 63. Check Example 2: (6 * 10) = 60. Apply to Question: (9 * 4) = 36.,1
63,(9 [27] 18)  (5 [22] 17)  (8 [?] 4),2,17,12,9,11,C,The rule is: add the left and right numbers. Check Example 1: (9 + 18) = 27. Check Example 2: (5 + 17) = 22. Apply to Question: (8 + 4) = 12.,1
64,(13 [15] 2)  (17 [25] 8)  (11 [?] 14),15,22,27,25,26,D,The rule is: add the left and right numbers. Check Example 1: (13 + 2) = 15. Check Example 2: (17 + 8) = 25. Apply to Question: (11 + 14) = 25.,1
65,(25 [18] 7)  (22 [1] 23)  (18 [?] 13),8,5,7,10,15,B,The rule is: find the difference between the numbers. Check Example 1: (25 - 7) = 18. Check Example 2: (22 - 23) = 1. Apply to Question: (18 - 13) = 5.,1
66,(10 [90] 9)  (8 [40] 5)  (4 [?] 10),42,38,40,30,41,C,The rule is: multiply the two numbers. Check Example 1: (10 * 9) = 90. Check Example 2: (8 * 5) = 40. Apply to Question: (4 * 10) = 40.,1
67,(6 [48] 8)  (2 [20] 10)  (9 [?] 4),38,35,42,34,36,E,The rule is: multiply the two numbers. Check Example 1: (6 * 8) = 48. Check Example 2: (2 * 10) = 20. Apply to Question: (9 * 4) = 36.,1
68,(20 [12] 8)  (7 [9] 16)  (9 [?] 7),7,3,2,4,5,C,The rule is: find the difference between the numbers. Check Example 1: (20 - 8) = 12. Check Example 2: (7 - 16) = 9. Apply to Question: (9 - 7) = 2.,1
69,(5 [50] 10)  (7 [42] 6)  (8 [?] 4),34,26,32,38,35,C,The rule is: multiply the two numbers. Check Example 1: (5 * 10) = 50. Check Example 2: (7 * 6) = 42. Apply to Question: (8 * 4) = 32.,1
70,(25 [8] 17)  (25 [11] 14)  (13 [?] 18),4,8,5,3,10,C,The rule is: find the difference between the numbers. Check Example 1: (25 - 17) = 8. Check Example 2: (25 - 14) = 11. Apply to Question: (13 - 18) = 5.,1
71,(8 [16] 24)  (18 [4] 22)  (23 [?] 15),7,10,13,8,6,D,The rule is: find the difference between the numbers. Check Example 1: (8 - 24) = 16. Check Example 2: (18 - 22) = 4. Apply to Question: (23 - 15) = 8.,1
72,(14 [2] 16)  (23 [9] 14)  (14 [?] 15),2,4,6,1,3,D,The rule is: find the difference between the numbers. Check Example 1: (14 - 16) = 2. Check Example 2: (23 - 14) = 9. Apply to Question: (14 - 15) = 1.,1
73,(6 [48] 8)  (5 [45] 9)  (6 [?] 9),54,60,44,52,56,A,The rule is: multiply the two numbers. Check Example 1: (6 * 8) = 48. Check Example 2: (5 * 9) = 45. Apply to Question: (6 * 9) = 54.,1
74,(13 [23] 10)  (17 [37] 20)  (8 [?] 3),9,11,10,21,12,B,The rule is: add the left and right numbers. Check Example 1: (13 + 10) = 23. Check Example 2: (17 + 20) = 37. Apply to Question: (8 + 3) = 11.,1
75,(15 [25] 10)  (6 [9] 3)  (6 [?] 16),24,12,22,23,32,C,The rule is: add the left and right numbers. Check Example 1: (15 + 10) = 25. Check Example 2: (6 + 3) = 9. Apply to Question: (6 + 16) = 22.,1
76,(13 [3] 16)  (12 [3] 15)  (14 [?] 21),6,7,9,8,17,B,The rule is: find the difference between the numbers. Check Example 1: (13 - 16) = 3. Check Example 2: (12 - 15) = 3. Apply to Question: (14 - 21) = 7.,1
77,(14 [1] 15)  (21 [12] 9)  (8 [?] 7),3,6,1,11,4,C,The rule is: find the difference between the numbers. Check Example 1: (14 - 15) = 1. Check Example 2: (21 - 9) = 12. Apply to Question: (8 - 7) = 1.,1
78,(18 [29] 11)  (8 [18] 10)  (5 [?] 4),14,9,7,10,8,B,The rule is: add the left and right numbers. Check Example 1: (18 + 11) = 29. Check Example 2: (8 + 10) = 18. Apply to Question: (5 + 4) = 9.,1
79,(16 [8] 24)  (8 [1] 9)  (16 [?] 8),8,10,7,9,5,A,The rule is: find the difference between the numbers. Check Example 1: (16 - 24) = 8. Check Example 2: (8 - 9) = 1. Apply to Question: (16 - 8) = 8.,1
80,(3 [11] 8)  (14 [17] 3)  (6 [?] 2),13,7,18,8,6,D,The rule is: add the left and right numbers. Check Example 1: (3 + 8) = 11. Check Example 2: (14 + 3) = 17. Apply to Question: (6 + 2) = 8.,1
81,(3 [22] 19)  (19 [25] 6)  (12 [?] 20),38,32,26,22,33,B,The rule is: add the left and right numbers. Check Example 1: (3 + 19) = 22. Check Example 2: (19 + 6) = 25. Apply to Question: (12 + 20) = 32.,1
82,(4 [28] 7)  (9 [90] 10)  (10 [?] 9),100,77,90,91,88,C,The rule is: multiply the two numbers. Check Example 1: (4 * 7) = 28. Check Example 2: (9 * 10) = 90. Apply to Question: (10 * 9) = 90.,1
83,(20 [30] 10)  (6 [24] 18)  (18 [?] 19),37,39,36,42,47,A,The rule is: add the left and right numbers. Check Example 1: (20 + 10) = 30. Check Example 2: (6 + 18) = 24. Apply to Question: (18 + 19) = 37.,1
84,(9 [45] 5)  (10 [80] 8)  (5 [?] 4),22,21,20,16,24,C,The rule is: multiply the two numbers. Check Example 1: (9 * 5) = 45. Check Example 2: (10 * 8) = 80. Apply to Question: (5 * 4) = 20.,1
85,(5 [9] 14)  (20 [2] 22)  (17 [?] 19),5,3,2,12,1,C,The rule is: find the difference between the numbers. Check Example 1: (5 - 14) = 9. Check Example 2: (20 - 22) = 2. Apply to Question: (17 - 19) = 2.,1
86,(25 [1] 24)  (24 [15] 9)  (20 [?] 9),1,14,11,13,16,C,The rule is: find the difference between the numbers. Check Example 1: (25 - 24) = 1. Check Example 2: (24 - 9) = 15. Apply to Question: (20 - 9) = 11.,1
87,(17 [2] 19)  (25 [12] 13)  (7 [?] 11),14,9,4,3,6,C,The rule is: find the difference between the numbers. Check Example 1: (17 - 19) = 2. Check Example 2: (25 - 13) = 12. Apply to Question: (7 - 11) = 4.,1
88,(9 [19] 10)  (14 [22] 8)  (10 [?] 8),16,15,8,18,28,D,The rule is: add the left and right numbers. Check Example 1: (9 + 10) = 19. Check Example 2: (14 + 8) = 22. Apply to Question: (10 + 8) = 18.,1
89,(11 [2] 13)  (5 [13] 18)  (22 [?] 25),5,3,13,1,2,B,The rule is: find the difference between the numbers. Check Example 1: (11 - 13) = 2. Check Example 2: (5 - 18) = 13. Apply to Question: (22 - 25) = 3.,1
90,(9 [6] 15)  (15 [5] 10)  (8 [?] 19),10,13,12,11,8,D,The rule is: find the difference between the numbers. Check Example 1: (9 - 15) = 6. Check Example 2: (15 - 10) = 5. Apply to Question: (8 - 19) = 11.,1
91,(15 [8] 7)  (24 [13] 11)  (14 [?] 21),7,10,8,6,9,A,The rule is: find the difference between the numbers. Check Example 1: (15 - 7) = 8. Check Example 2: (24 - 11) = 13. Apply to Question: (14 - 21) = 7.,1
92,(20 [31] 11)  (17 [24] 7)  (10 [?] 14),23,27,25,24,34,D,The rule is: add the left and right numbers. Check Example 1: (20 + 11) = 31. Check Example 2: (17 + 7) = 24. Apply to Question: (10 + 14) = 24.,1
93,(2 [16] 8)  (7 [70] 10)  (7 [?] 6),40,42,41,44,50,B,The rule is: multiply the two numbers. Check Example 1: (2 * 8) = 16. Check Example 2: (7 * 10) = 70. Apply to Question: (7 * 6) = 42.,1
94,(19 [29] 10)  (6 [21] 15)  (12 [?] 11),22,23,33,21,24,B,The rule is: add the left and right numbers. Check Example 1: (19 + 10) = 29. Check Example 2: (6 + 15) = 21. Apply to Question: (12 + 11) = 23.,1
95,(6 [11] 17)  (7 [8] 15)  (13 [?] 24),9,16,8,14,11,E,The rule is: find the difference between the numbers. Check Example 1: (6 - 17) = 11. Check Example 2: (7 - 15) = 8. Apply to Question: (13 - 24) = 11.,1
