id,question,OptionA,OptionB,OptionC,OptionD,OptionE,correct_answer,explanation,difficulty
96,(6 [13] 19)  (24 [18] 6)  (16 [?] 17),3,6,4,1,2,D,The rule is: find the difference between the numbers. Check Example 1: (6 - 19) = 13. Check Example 2: (24 - 6) = 18. Apply to Question: (16 - 17) = 1.,1
97,(13 [24] 11)  (7 [26] 19)  (17 [?] 13),40,35,30,28,33,C,The rule is: add the left and right numbers. Check Example 1: (13 + 11) = 24. Check Example 2: (7 + 19) = 26. Apply to Question: (17 + 13) = 30.,1
98,(5 [10] 2)  (2 [16] 8)  (10 [?] 4),30,40,42,41,36,B,The rule is: multiply the two numbers. Check Example 1: (5 * 2) = 10. Check Example 2: (2 * 8) = 16. Apply to Question: (10 * 4) = 40.,1
99,(22 [1] 21)  (21 [13] 8)  (9 [?] 8),2,3,11,4,1,E,The rule is: find the difference between the numbers. Check Example 1: (22 - 21) = 1. Check Example 2: (21 - 8) = 13. Apply to Question: (9 - 8) = 1.,1
100,(19 [37] 18)  (19 [35] 16)  (16 [?] 18),39,40,36,38,34,E,The rule is: add the left and right numbers. Check Example 1: (19 + 18) = 37. Check Example 2: (19 + 16) = 35. Apply to Question: (16 + 18) = 34.,1
101,(20 [6] 14)  (13 [6] 7)  (9 [?] 20),13,1,8,9,11,E,The rule is: find the difference between the numbers. Check Example 1: (20 - 14) = 6. Check Example 2: (13 - 7) = 6. Apply to Question: (9 - 20) = 11.,1
102,(10 [40] 4)  (9 [72] 8)  (5 [?] 8),42,30,34,40,45,D,The rule is: multiply the two numbers. Check Example 1: (10 * 4) = 40. Check Example 2: (9 * 8) = 72. Apply to Question: (5 * 8) = 40.,1
103,(17 [1] 18)  (5 [1] 6)  (24 [?] 13),10,9,1,11,12,D,The rule is: find the difference between the numbers. Check Example 1: (17 - 18) = 1. Check Example 2: (5 - 6) = 1. Apply to Question: (24 - 13) = 11.,1
104,(12 [28] 16)  (2 [5] 3)  (8 [?] 3),12,8,10,11,16,D,The rule is: add the left and right numbers. Check Example 1: (12 + 16) = 28. Check Example 2: (2 + 3) = 5. Apply to Question: (8 + 3) = 11.,1
105,(2 [9] 7)  (12 [30] 18)  (6 [?] 10),14,16,18,26,21,B,The rule is: add the left and right numbers. Check Example 1: (2 + 7) = 9. Check Example 2: (12 + 18) = 30. Apply to Question: (6 + 10) = 16.,1
106,(18 [9] 9)  (9 [4] 5)  (7 [?] 11),14,4,2,1,6,B,The rule is: find the difference between the numbers. Check Example 1: (18 - 9) = 9. Check Example 2: (9 - 5) = 4. Apply to Question: (7 - 11) = 4.,1
107,(17 [2] 19)  (8 [12] 20)  (12 [?] 6),16,6,3,9,5,B,The rule is: find the difference between the numbers. Check Example 1: (17 - 19) = 2. Check Example 2: (8 - 20) = 12. Apply to Question: (12 - 6) = 6.,1
108,(14 [10] 24)  (25 [12] 13)  (9 [?] 18),8,11,7,9,12,D,The rule is: find the difference between the numbers. Check Example 1: (14 - 24) = 10. Check Example 2: (25 - 13) = 12. Apply to Question: (9 - 18) = 9.,1
109,(8 [48] 6)  (6 [60] 10)  (6 [?] 4),24,23,26,22,25,A,The rule is: multiply the two numbers. Check Example 1: (8 * 6) = 48. Check Example 2: (6 * 10) = 60. Apply to Question: (6 * 4) = 24.,1
110,(20 [37] 17)  (18 [32] 14)  (8 [?] 19),17,30,26,24,27,E,The rule is: add the left and right numbers. Check Example 1: (20 + 17) = 37. Check Example 2: (18 + 14) = 32. Apply to Question: (8 + 19) = 27.,1
111,(17 [22] 5)  (11 [16] 5)  (12 [?] 19),32,31,33,36,29,B,The rule is: add the left and right numbers. Check Example 1: (17 + 5) = 22. Check Example 2: (11 + 5) = 16. Apply to Question: (12 + 19) = 31.,1
112,(21 [15] 6)  (12 [7] 19)  (23 [?] 13),10,9,7,15,12,A,The rule is: find the difference between the numbers. Check Example 1: (21 - 6) = 15. Check Example 2: (12 - 19) = 7. Apply to Question: (23 - 13) = 10.,1
113,(2 [13] 11)  (15 [31] 16)  (20 [?] 4),29,21,22,24,25,D,The rule is: add the left and right numbers. Check Example 1: (2 + 11) = 13. Check Example 2: (15 + 16) = 31. Apply to Question: (20 + 4) = 24.,1
114,(20 [25] 5)  (5 [22] 17)  (7 [?] 18),26,30,22,25,23,D,The rule is: add the left and right numbers. Check Example 1: (20 + 5) = 25. Check Example 2: (5 + 17) = 22. Apply to Question: (7 + 18) = 25.,1
115,(3 [18] 6)  (6 [60] 10)  (3 [?] 2),5,11,9,8,6,E,The rule is: multiply the two numbers. Check Example 1: (3 * 6) = 18. Check Example 2: (6 * 10) = 60. Apply to Question: (3 * 2) = 6.,1
116,(19 [13] 6)  (8 [12] 20)  (9 [?] 17),7,13,6,8,18,D,The rule is: find the difference between the numbers. Check Example 1: (19 - 6) = 13. Check Example 2: (8 - 20) = 12. Apply to Question: (9 - 17) = 8.,1
117,(16 [28] 12)  (7 [15] 8)  (7 [?] 9),16,14,18,17,15,A,The rule is: add the left and right numbers. Check Example 1: (16 + 12) = 28. Check Example 2: (7 + 8) = 15. Apply to Question: (7 + 9) = 16.,1
118,(14 [29] 15)  (4 [19] 15)  (13 [?] 19),22,33,27,30,32,E,The rule is: add the left and right numbers. Check Example 1: (14 + 15) = 29. Check Example 2: (4 + 15) = 19. Apply to Question: (13 + 19) = 32.,1
119,(9 [63] 7)  (4 [36] 9)  (3 [?] 2),7,11,6,8,4,C,The rule is: multiply the two numbers. Check Example 1: (9 * 7) = 63. Check Example 2: (4 * 9) = 36. Apply to Question: (3 * 2) = 6.,1
120,(10 [4] 14)  (16 [2] 18)  (17 [?] 23),6,4,5,16,3,A,The rule is: find the difference between the numbers. Check Example 1: (10 - 14) = 4. Check Example 2: (16 - 18) = 2. Apply to Question: (17 - 23) = 6.,1
121,(3 [21] 18)  (10 [12] 2)  (19 [?] 8),22,28,27,29,17,C,The rule is: add the left and right numbers. Check Example 1: (3 + 18) = 21. Check Example 2: (10 + 2) = 12. Apply to Question: (19 + 8) = 27.,1
122,(6 [11] 17)  (10 [8] 18)  (11 [?] 15),1,4,6,3,2,B,The rule is: find the difference between the numbers. Check Example 1: (6 - 17) = 11. Check Example 2: (10 - 18) = 8. Apply to Question: (11 - 15) = 4.,1
123,(3 [18] 6)  (7 [63] 9)  (7 [?] 10),81,70,64,68,80,B,The rule is: multiply the two numbers. Check Example 1: (3 * 6) = 18. Check Example 2: (7 * 9) = 63. Apply to Question: (7 * 10) = 70.,1
124,(17 [7] 24)  (22 [7] 15)  (6 [?] 15),7,6,9,19,10,C,The rule is: find the difference between the numbers. Check Example 1: (17 - 24) = 7. Check Example 2: (22 - 15) = 7. Apply to Question: (6 - 15) = 9.,1
125,(8 [16] 2)  (10 [40] 4)  (5 [?] 9),50,37,45,44,43,C,The rule is: multiply the two numbers. Check Example 1: (8 * 2) = 16. Check Example 2: (10 * 4) = 40. Apply to Question: (5 * 9) = 45.,1
126,(6 [48] 8)  (4 [8] 2)  (8 [?] 4),33,36,32,34,22,C,The rule is: multiply the two numbers. Check Example 1: (6 * 8) = 48. Check Example 2: (4 * 2) = 8. Apply to Question: (8 * 4) = 32.,1
127,(4 [15] 11)  (6 [10] 4)  (19 [?] 9),29,28,26,32,33,B,The rule is: add the left and right numbers. Check Example 1: (4 + 11) = 15. Check Example 2: (6 + 4) = 10. Apply to Question: (19 + 9) = 28.,1
128,(3 [24] 8)  (3 [30] 10)  (7 [?] 8),56,61,55,66,52,A,The rule is: multiply the two numbers. Check Example 1: (3 * 8) = 24. Check Example 2: (3 * 10) = 30. Apply to Question: (7 * 8) = 56.,1
129,(7 [42] 6)  (5 [20] 4)  (3 [?] 4),12,11,9,22,15,A,The rule is: multiply the two numbers. Check Example 1: (7 * 6) = 42. Check Example 2: (5 * 4) = 20. Apply to Question: (3 * 4) = 12.,1
130,(7 [28] 4)  (10 [90] 9)  (9 [?] 3),31,28,17,27,30,D,The rule is: multiply the two numbers. Check Example 1: (7 * 4) = 28. Check Example 2: (10 * 9) = 90. Apply to Question: (9 * 3) = 27.,1
131,(8 [24] 3)  (4 [28] 7)  (3 [?] 7),18,20,19,23,21,E,The rule is: multiply the two numbers. Check Example 1: (8 * 3) = 24. Check Example 2: (4 * 7) = 28. Apply to Question: (3 * 7) = 21.,1
132,(2 [19] 17)  (7 [25] 18)  (20 [?] 9),39,27,29,31,28,C,The rule is: add the left and right numbers. Check Example 1: (2 + 17) = 19. Check Example 2: (7 + 18) = 25. Apply to Question: (20 + 9) = 29.,1
133,(2 [17] 15)  (17 [21] 4)  (11 [?] 2),13,10,15,14,11,A,The rule is: add the left and right numbers. Check Example 1: (2 + 15) = 17. Check Example 2: (17 + 4) = 21. Apply to Question: (11 + 2) = 13.,1
134,(10 [28] 18)  (19 [35] 16)  (8 [?] 5),14,12,10,15,13,E,The rule is: add the left and right numbers. Check Example 1: (10 + 18) = 28. Check Example 2: (19 + 16) = 35. Apply to Question: (8 + 5) = 13.,1
135,(8 [9] 17)  (11 [5] 6)  (9 [?] 24),14,15,17,12,16,B,The rule is: find the difference between the numbers. Check Example 1: (8 - 17) = 9. Check Example 2: (11 - 6) = 5. Apply to Question: (9 - 24) = 15.,1
136,(6 [1] 7)  (20 [2] 18)  (19 [?] 17),1,3,5,12,2,E,The rule is: find the difference between the numbers. Check Example 1: (6 - 7) = 1. Check Example 2: (20 - 18) = 2. Apply to Question: (19 - 17) = 2.,1
137,(8 [40] 5)  (5 [10] 2)  (2 [?] 3),5,9,16,11,6,E,The rule is: multiply the two numbers. Check Example 1: (8 * 5) = 40. Check Example 2: (5 * 2) = 10. Apply to Question: (2 * 3) = 6.,1
138,(4 [8] 2)  (7 [35] 5)  (6 [?] 8),45,38,48,50,39,C,The rule is: multiply the two numbers. Check Example 1: (4 * 2) = 8. Check Example 2: (7 * 5) = 35. Apply to Question: (6 * 8) = 48.,1
139,(13 [4] 9)  (18 [11] 7)  (14 [?] 19),10,4,5,6,8,C,The rule is: find the difference between the numbers. Check Example 1: (13 - 9) = 4. Check Example 2: (18 - 7) = 11. Apply to Question: (14 - 19) = 5.,1
140,(16 [2] 14)  (5 [18] 23)  (14 [?] 12),7,3,5,2,1,D,The rule is: find the difference between the numbers. Check Example 1: (16 - 14) = 2. Check Example 2: (5 - 23) = 18. Apply to Question: (14 - 12) = 2.,1
141,(17 [33] 16)  (20 [22] 2)  (11 [?] 3),12,14,15,16,4,B,The rule is: add the left and right numbers. Check Example 1: (17 + 16) = 33. Check Example 2: (20 + 2) = 22. Apply to Question: (11 + 3) = 14.,1
142,(8 [7] 15)  (22 [11] 11)  (22 [?] 14),8,5,6,18,9,A,The rule is: find the difference between the numbers. Check Example 1: (8 - 15) = 7. Check Example 2: (22 - 11) = 11. Apply to Question: (22 - 14) = 8.,1
143,(2 [8] 4)  (6 [54] 9)  (5 [?] 10),48,52,50,60,49,C,The rule is: multiply the two numbers. Check Example 1: (2 * 4) = 8. Check Example 2: (6 * 9) = 54. Apply to Question: (5 * 10) = 50.,1
144,(2 [14] 7)  (4 [40] 10)  (4 [?] 6),22,25,20,24,14,D,The rule is: multiply the two numbers. Check Example 1: (2 * 7) = 14. Check Example 2: (4 * 10) = 40. Apply to Question: (4 * 6) = 24.,1
145,(2 [6] 3)  (2 [18] 9)  (4 [?] 8),29,30,38,32,42,D,The rule is: multiply the two numbers. Check Example 1: (2 * 3) = 6. Check Example 2: (2 * 9) = 18. Apply to Question: (4 * 8) = 32.,1
146,(17 [25] 8)  (15 [23] 8)  (11 [?] 6),17,19,18,27,15,A,The rule is: add the left and right numbers. Check Example 1: (17 + 8) = 25. Check Example 2: (15 + 8) = 23. Apply to Question: (11 + 6) = 17.,1
147,(20 [25] 5)  (3 [16] 13)  (8 [?] 6),14,24,15,17,4,A,The rule is: add the left and right numbers. Check Example 1: (20 + 5) = 25. Check Example 2: (3 + 13) = 16. Apply to Question: (8 + 6) = 14.,1
148,(17 [32] 15)  (15 [31] 16)  (15 [?] 6),11,23,26,21,31,D,The rule is: add the left and right numbers. Check Example 1: (17 + 15) = 32. Check Example 2: (15 + 16) = 31. Apply to Question: (15 + 6) = 21.,1
149,(9 [21] 12)  (17 [19] 2)  (7 [?] 19),24,29,36,16,26,E,The rule is: add the left and right numbers. Check Example 1: (9 + 12) = 21. Check Example 2: (17 + 2) = 19. Apply to Question: (7 + 19) = 26.,1
150,(16 [36] 20)  (6 [18] 12)  (16 [?] 20),36,37,38,34,35,A,The rule is: add the left and right numbers. Check Example 1: (16 + 20) = 36. Check Example 2: (6 + 12) = 18. Apply to Question: (16 + 20) = 36.,1
151,(15 [12] 9)  (14 [16] 18)  (2 [?] 22),17,10,13,12,9,D,The rule is: add the numbers and divide by 2. Check Example 1: (15 + 9) ÷ 2 = 12. Check Example 2: (14 + 18) ÷ 2 = 16. Apply to Question: (2 + 22) ÷ 2 = 12.,2
152,(4 [18] 10)  (9 [28] 10)  (7 [?] 6),30,18,19,20,22,D,The rule is: double the left number and add the right number. Check Example 1: (4 * 2) + 10 = 18. Check Example 2: (9 * 2) + 10 = 28. Apply to Question: (7 * 2) + 6 = 20.,2
153,(4 [14] 8)  (11 [19] 6)  (8 [?] 2),12,11,17,10,13,A,The rule is: add the numbers then add 2. Check Example 1: (4 + 8) + 2 = 14. Check Example 2: (11 + 6) + 2 = 19. Apply to Question: (8 + 2) + 2 = 12.,2
154,(6 [30] 10)  (4 [24] 12)  (9 [?] 12),55,54,59,62,56,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (6 * 10) ÷ 2 = 30. Check Example 2: (4 * 12) ÷ 2 = 24. Apply to Question: (9 * 12) ÷ 2 = 54.,2
155,(6 [16] 26)  (28 [17] 6)  (12 [?] 22),16,18,17,7,15,C,The rule is: add the numbers and divide by 2. Check Example 1: (6 + 26) ÷ 2 = 16. Check Example 2: (28 + 6) ÷ 2 = 17. Apply to Question: (12 + 22) ÷ 2 = 17.,2
156,(10 [35] 7)  (5 [30] 12)  (9 [?] 6),32,26,27,25,24,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (10 * 7) ÷ 2 = 35. Check Example 2: (5 * 12) ÷ 2 = 30. Apply to Question: (9 * 6) ÷ 2 = 27.,2
157,(7 [28] 8)  (7 [7] 2)  (6 [?] 11),32,33,31,23,43,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (7 * 8) ÷ 2 = 28. Check Example 2: (7 * 2) ÷ 2 = 7. Apply to Question: (6 * 11) ÷ 2 = 33.,2
158,(12 [18] 4)  (12 [28] 14)  (13 [?] 2),17,22,7,16,19,A,The rule is: add the numbers then add 2. Check Example 1: (12 + 4) + 2 = 18. Check Example 2: (12 + 14) + 2 = 28. Apply to Question: (13 + 2) + 2 = 17.,2
159,(10 [20] 4)  (4 [24] 12)  (6 [?] 9),28,27,31,29,23,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (10 * 4) ÷ 2 = 20. Check Example 2: (4 * 12) ÷ 2 = 24. Apply to Question: (6 * 9) ÷ 2 = 27.,2
160,(5 [13] 3)  (5 [14] 4)  (6 [?] 15),26,30,32,27,22,D,The rule is: double the left number and add the right number. Check Example 1: (5 * 2) + 3 = 13. Check Example 2: (5 * 2) + 4 = 14. Apply to Question: (6 * 2) + 15 = 27.,2
161,(10 [13] 16)  (17 [14] 11)  (7 [?] 21),16,14,12,17,24,B,The rule is: add the numbers and divide by 2. Check Example 1: (10 + 16) ÷ 2 = 13. Check Example 2: (17 + 11) ÷ 2 = 14. Apply to Question: (7 + 21) ÷ 2 = 14.,2
162,(6 [23] 11)  (4 [17] 9)  (11 [?] 4),16,28,24,27,26,E,The rule is: double the left number and add the right number. Check Example 1: (6 * 2) + 11 = 23. Check Example 2: (4 * 2) + 9 = 17. Apply to Question: (11 * 2) + 4 = 26.,2
163,(6 [9] 3)  (10 [25] 5)  (6 [?] 8),23,24,20,14,22,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (6 * 3) ÷ 2 = 9. Check Example 2: (10 * 5) ÷ 2 = 25. Apply to Question: (6 * 8) ÷ 2 = 24.,2
164,(7 [22] 8)  (8 [18] 2)  (3 [?] 14),24,18,22,20,21,D,The rule is: double the left number and add the right number. Check Example 1: (7 * 2) + 8 = 22. Check Example 2: (8 * 2) + 2 = 18. Apply to Question: (3 * 2) + 14 = 20.,2
165,(14 [36] 20)  (2 [23] 19)  (12 [?] 16),24,29,30,36,25,C,The rule is: add the numbers then add 2. Check Example 1: (14 + 20) + 2 = 36. Check Example 2: (2 + 19) + 2 = 23. Apply to Question: (12 + 16) + 2 = 30.,2
166,(11 [11] 2)  (11 [33] 6)  (10 [?] 5),29,25,23,35,24,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (11 * 2) ÷ 2 = 11. Check Example 2: (11 * 6) ÷ 2 = 33. Apply to Question: (10 * 5) ÷ 2 = 25.,2
167,(14 [35] 7)  (9 [25] 7)  (2 [?] 5),9,6,14,10,11,A,The rule is: double the left number and add the right number. Check Example 1: (14 * 2) + 7 = 35. Check Example 2: (9 * 2) + 7 = 25. Apply to Question: (2 * 2) + 5 = 9.,2
168,(5 [16] 6)  (6 [21] 9)  (10 [?] 8),30,29,31,27,28,E,The rule is: double the left number and add the right number. Check Example 1: (5 * 2) + 6 = 16. Check Example 2: (6 * 2) + 9 = 21. Apply to Question: (10 * 2) + 8 = 28.,2
169,(8 [28] 7)  (11 [22] 4)  (11 [?] 10),53,55,63,50,49,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (8 * 7) ÷ 2 = 28. Check Example 2: (11 * 4) ÷ 2 = 22. Apply to Question: (11 * 10) ÷ 2 = 55.,2
170,(4 [11] 5)  (9 [26] 15)  (3 [?] 15),10,25,30,20,23,D,The rule is: add the numbers then add 2. Check Example 1: (4 + 5) + 2 = 11. Check Example 2: (9 + 15) + 2 = 26. Apply to Question: (3 + 15) + 2 = 20.,2
171,(2 [3] 3)  (11 [55] 10)  (12 [?] 9),59,54,56,64,52,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (2 * 3) ÷ 2 = 3. Check Example 2: (11 * 10) ÷ 2 = 55. Apply to Question: (12 * 9) ÷ 2 = 54.,2
172,(2 [10] 6)  (6 [25] 13)  (13 [?] 5),31,21,34,26,37,A,The rule is: double the left number and add the right number. Check Example 1: (2 * 2) + 6 = 10. Check Example 2: (6 * 2) + 13 = 25. Apply to Question: (13 * 2) + 5 = 31.,2
173,(14 [20] 26)  (29 [22] 15)  (29 [?] 5),27,16,19,17,15,D,The rule is: add the numbers and divide by 2. Check Example 1: (14 + 26) ÷ 2 = 20. Check Example 2: (29 + 15) ÷ 2 = 22. Apply to Question: (29 + 5) ÷ 2 = 17.,2
174,(10 [40] 8)  (2 [12] 12)  (9 [?] 6),28,23,24,29,27,E,The rule is: multiply the numbers and divide by 2. Check Example 1: (10 * 8) ÷ 2 = 40. Check Example 2: (2 * 12) ÷ 2 = 12. Apply to Question: (9 * 6) ÷ 2 = 27.,2
175,(16 [27] 9)  (20 [32] 10)  (18 [?] 6),24,31,28,23,26,E,The rule is: add the numbers then add 2. Check Example 1: (16 + 9) + 2 = 27. Check Example 2: (20 + 10) + 2 = 32. Apply to Question: (18 + 6) + 2 = 26.,2
176,(13 [23] 8)  (12 [23] 9)  (14 [?] 6),21,22,32,24,25,B,The rule is: add the numbers then add 2. Check Example 1: (13 + 8) + 2 = 23. Check Example 2: (12 + 9) + 2 = 23. Apply to Question: (14 + 6) + 2 = 22.,2
177,(2 [14] 10)  (14 [33] 5)  (2 [?] 10),14,19,16,13,12,A,The rule is: double the left number and add the right number. Check Example 1: (2 * 2) + 10 = 14. Check Example 2: (14 * 2) + 5 = 33. Apply to Question: (2 * 2) + 10 = 14.,2
178,(13 [18] 3)  (16 [24] 6)  (17 [?] 8),32,37,30,27,25,D,The rule is: add the numbers then add 2. Check Example 1: (13 + 3) + 2 = 18. Check Example 2: (16 + 6) + 2 = 24. Apply to Question: (17 + 8) + 2 = 27.,2
179,(2 [10] 10)  (6 [15] 5)  (6 [?] 4),12,13,15,9,14,A,The rule is: multiply the numbers and divide by 2. Check Example 1: (2 * 10) ÷ 2 = 10. Check Example 2: (6 * 5) ÷ 2 = 15. Apply to Question: (6 * 4) ÷ 2 = 12.,2
180,(14 [9] 4)  (8 [6] 4)  (29 [?] 17),20,23,28,26,27,B,The rule is: add the numbers and divide by 2. Check Example 1: (14 + 4) ÷ 2 = 9. Check Example 2: (8 + 4) ÷ 2 = 6. Apply to Question: (29 + 17) ÷ 2 = 23.,2
181,(13 [33] 7)  (13 [37] 11)  (9 [?] 2),24,22,20,18,30,C,The rule is: double the left number and add the right number. Check Example 1: (13 * 2) + 7 = 33. Check Example 2: (13 * 2) + 11 = 37. Apply to Question: (9 * 2) + 2 = 20.,2
182,(6 [25] 13)  (9 [26] 8)  (9 [?] 12),35,30,31,32,33,B,The rule is: double the left number and add the right number. Check Example 1: (6 * 2) + 13 = 25. Check Example 2: (9 * 2) + 8 = 26. Apply to Question: (9 * 2) + 12 = 30.,2
183,(8 [26] 10)  (6 [15] 3)  (5 [?] 10),21,20,19,24,16,B,The rule is: double the left number and add the right number. Check Example 1: (8 * 2) + 10 = 26. Check Example 2: (6 * 2) + 3 = 15. Apply to Question: (5 * 2) + 10 = 20.,2
184,(6 [6] 2)  (10 [20] 4)  (6 [?] 11),34,23,33,32,27,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (6 * 2) ÷ 2 = 6. Check Example 2: (10 * 4) ÷ 2 = 20. Apply to Question: (6 * 11) ÷ 2 = 33.,2
185,(3 [18] 12)  (5 [25] 10)  (4 [?] 12),29,24,28,25,26,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (3 * 12) ÷ 2 = 18. Check Example 2: (5 * 10) ÷ 2 = 25. Apply to Question: (4 * 12) ÷ 2 = 24.,2
186,(12 [18] 3)  (12 [60] 10)  (11 [?] 8),45,40,44,43,34,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (12 * 3) ÷ 2 = 18. Check Example 2: (12 * 10) ÷ 2 = 60. Apply to Question: (11 * 8) ÷ 2 = 44.,2
187,(5 [20] 8)  (2 [3] 3)  (6 [?] 12),39,30,37,36,29,D,The rule is: multiply the numbers and divide by 2. Check Example 1: (5 * 8) ÷ 2 = 20. Check Example 2: (2 * 3) ÷ 2 = 3. Apply to Question: (6 * 12) ÷ 2 = 36.,2
